name;filename;description;file
Kommunikasjonsbok;./media/databases-media/projects/communicationBook.jpg;Min første erfaring med InDesign. Innholdet i boken ble laget av Nils Petter Johnsrud.;./media/databases-media/projects/files/communicationBook.pdf
Filmplakat;./media/databases-media/projects/manhuntPoster.jpg;En plakat laget for en studentfilm. Hele plakaten er designet i Photoshop.;./media/databases-media/projects/files/manhuntPoster.pdf
Gjett tallet;./media/databases-media/projects/guessTheNumber.jpg;Mitt siste spill, med stilisert bakgrunn, skjerm og terminal. Inkluderer sarkasme.;./media/databases-media/projects/files/guessTheNumber/index.html
Hvordan ta bilder;./media/databases-media/projects/howToTakePhotos.jpg;En veiledning om hvordan du tar gode bilder med egen telefon. Designet i InDesign.;./media/databases-media/projects/files/howToTakePhotos.pdf
Første Github-side;./media/databases-media/projects/firstGithub.jpg;Dette er min første idé for en GitHub-side, inspirert av noe jeg så online.;./media/databases-media/projects/files/firstGithub/index.html
Reiseapplikasjon;./media/databases-media/projects/travelAppJS.jpg;En applikasjon laget for et imaginært reiseselskap, laget med MySQL og PHP.;./media/databases-media/projects/files/travelAppJS/index.html
Andre Github-side;./media/databases-media/projects/secondGithub.jpg;Min andre GitHub-side, laget med litt inspirasjon og en parallakseffekt.;./media/databases-media/projects/files/secondGithub/index.html
Bånsull AS;./media/databases-media/projects/baanNettverk.jpg;Nettverksoppsett for en "klient", satt opp med VLAN og NGFW.;./media/databases-media/projects/files/baansullNetwork.pdf
Kurs i Webdesign;./media/databases-media/projects/webkurs.png;Et webkurs lagd for VG1, hvor min gruppes del var selve kurset og VS Code;https://nukleus73.github.io/2ITA/webkurs/
