jobtitle;location;description;year
Elev;Hoppern Skole, Moss;Ved Hoppern Skole i 2019 utviklet jeg nøkkelkompetanser som selvdisiplin og samarbeid. Jeg utforsket fag som matte, <span>programmering og teknologiforståelse</span>, samarbeidet i teamprosjekter, noe som forbedret mine analytiske ferdigheter. Aktiv deltakelse i arbeidslivsfag styrket mine varierte ferdigheter.;2019
Student;Kirkeparken Videregående Skole, Moss;Min tid ved videregående var preget av dypere utforskning av programmering, medie, teknologiforstelse og driftstøtte. Jeg utviklet en systematisk tilnærming til læring og demonstrerte vilje til å strekke meg utover det forventede. Gjennom engasjement i blandt annet <span>utvikling av e-læringkurs, spillprogrammering</span> og effektiv håndtering av høyt arbeidsvolum, oppnådde jeg betydelig personlig og faglig vekst.;2022
